Task,Owner,Priority,Due Date,Status
Intermittent Service Switch When Clicking Pay Button,John Odero,P3,02-Oct-26,In Progress
Customer Suppport,John Odero,P1,02-Oct-26,Complete
Customer Suppport,John Odero,P1,02-Oct-26,Complete
Language Translation in Errors - from French to English,John Odero,P2,02-Oct-26,In Progress
Transaction Source (Web/App) Not Identifiable for Analysis,John Odero,P4,02-Oct-26,In Progress
Cross-Border Transaction Origin and Destination Not Identifiable,John Odero,P4,02-Oct-26,In Progress
Rwanda Missing from Active East Africa Corridors,John Odero,P4,02-Oct-26,Blocked
Lack of Power BI Access for East Africa MyTouchpoint Coordinator,John Odero,P2,02-Oct-26,In Progress
Receipt lacks sender's details,John Odero,P1,02-Oct-26,Completed
Services on Mytouchpoint Landing Page,John Odero,P1,02-Nov-26,Completed
Transalate Receipt notification to English,John Odero,P2,02-Nov-26,In Progress
Number Format,John Odero,P3,02-Nov-26,In Progress
Number Format,John Odero,P4,02-Nov-26,In Progress
Inactive Services,John Odero,P4,02-Nov-26,In Progress
Cameroon Missing from Active East Africa Corridors,John Odero,P4,02-Nov-26,Blocked
Customer Communication for MyTouchpoint App Update to Enable WhatsApp Customer Service Access,John Odero,P4,02-Nov-26,In Progress
"Rename Support WhatsApp Display Name to ""INTOUCH SUPPORT - ENG""",John Odero,P4,02-Nov-26,In Progress
Enable Mobile Notifications for LAM Platform to Improve Query Response Awareness,P4,P4,02-Dec-26,In Progress
Update Contact Number on Moving Advertisements,P4,P2,02-Dec-26,In Progress
Title: Password Reset Notification Channel Mismatch,John Odero,P1,02-Dec-26,In Progress
Mpesa Dealer Portal Support,John Odero,P4,02-Dec-26,In Progress
Mpesa Dealer Portal Support,John Odero,P4,02-Dec-26,In Progress
Safaricom Mpesa Support,John Odero,P3,02-Dec-26,In Progress
Safaricom Mpesa Support,John Odero,P3,02-Dec-26,In Progress
