,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,01-Mar-26,,Progress Tracker,,,,,,,,,,,,,,,Feb,,,,Mar,,,,Apr,,,,May,,,,,Jun,,,,,Jul,,,,,Aug,,,,Sept,,,,Oct,,,,Nov,,,,Dec,,,,Jan,,,
Project Name,MYTP Backlog 2026,,42%,,,,,,,,,,,,,Week Starting,,02-Feb,09-Feb,16-Feb,23-Feb,02-Mar,09-Mar,16-Mar,23-Mar,30-Mar,06-Apr,13-Apr,20-Apr,27-Apr,04-May,11-May,18-May,25-May,01-Jun,08-Jun,15-Jun,22-Jun,29-Jun,06-Jul,13-Jul,20-Jul,27-Jul,03-Aug,10-Aug,17-Aug,24-Aug,31-Aug,07-Sept,14-Sept,21-Sept,28-Sept,05-Oct,12-Oct,19-Oct,26-Oct,02-Nov,09-Nov,16-Nov,23-Nov,30-Nov,07-Dec,14-Dec,21-Dec,28-Dec,04-Jan,11-Jan,18-Jan
Department,Category,Country,Task/Problem,Task Description,Action Plan,Owner,Support,Pr,Trend,Ticket,Ticket No,Start,End,Days To,Status,%Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,Hub & NG,Intermittent Service Switch When Clicking Pay Button,An intermittent issue occurs when a customer clicks the Pay button. The transaction unexpectedly switches to a different service than the one originally selected. This forces the customer to restart the service selection process and degrades the overall user experience. The transaction should proceed with the originally selected service without any changes.,Identify the root cause in service selection or session handling and implement a fix to ensure correct service persistence at payment,John Odero,Alpha Diack,P3,Amber,Yes,ISTD0626220925,01-Jan-26,31-Mar-26,64,In Progress,100%,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,Hub & NG,Customer Suppport,The WhatsApp number for East Africa has not yet been integrated into the MYTP app,Number to be configured,John Odero,Aziz,P1,Red,Yes,ISTD0626209088,01-Jan-26,31-Mar-26,64,Complete,100%,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,Hub & NG,Customer Suppport,No contact number/email address for EA,Contact shared with Aziz to implement in LC/Yet to be embeded on App,John Odero,Aziz,P1,Red,No,,01-Jan-26,31-Mar-26,64,Complete,100%,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,Hub & NG,Language Translation in Errors - from French to English,"Error messages are currently being displayed in French instead of English, leading to confusion for users who expect the system language to be English ","Identify and correct the language configuration or localization mapping to ensure all error messages are consistently displayed in English, followed by validation across all user flows",John Odero,Alpha Diack,P2,Green,No,ISTD0626220950,01-Apr-26,30-Jun-26,65,In Progress,100%,,,,,,,,,,,,,,,,,,,,,,,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,Hub & NG,Transaction Source (Web/App) Not Identifiable for Analysis,"It is currently not possible to determine whether transactions are performed via the web platform or the mobile application, which limits the ability to conduct accurate analysis and reporting. (Available in Power BI - John to ask for PBI access","Implement proper tracking and tagging mechanisms to clearly capture and differentiate the transaction source (web vs. app), and validate the data for accurate reporting and analysis.",John Odero,Alpha Diack,P4,Green,No,ISTD0626220952,01-Feb-26,01-Feb-26,0,In Progress,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Support,Fixes on MYTP App,Hub & NG,Cross-Border Transaction Origin and Destination Not Identifiable,"For cross-border transactions, it is currently not clear which countries are originating or terminating the transactions, limiting the ability to perform accurate analysis, reporting, and monitoring. (Available in Power BI - John to ask for PBI access","Configure in BO or provide access that clearly identifes both the originating and destination countries for all cross-border transactions, followed by validation for reporting accuracy.",John Odero,EMG,P4,Amber,Yes,ISTD0626209152,01-Feb-26,01-Feb-26,0,In Progress,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
